This program will make the robot wander around. It uses some avoidance
actions if obstacles are detected, otherwise it just has a
constant forward velocity.

Press CTRL-C or Escape to exit.
Could not connect to simulator, connecting to robot through serial port /dev/ttyUSB0.
Syncing 0
Syncing 1
Syncing 2
Connected to robot.
Name: Minnesota_1861
Type: Pioneer
Subtype: p3dx
ArConfig: Config version: 2.0
Loaded robot parameters from /usr/local/Aria/params/p3dx.p
ArLaserConnector: There is a port given, but no port type given so using the robot parameters port type
ArLaserConnector: Set serial port to open /dev/ttyUSB1
laser: waiting for laser to power on.
laser: Connected to the laser.
Point: 399.511 -1530.16
Point: 367.124 -1512.22
Point: 336.105 -1496.57
Point: 309.175 -1497.96
Point: 278.993 -1480.17
Point: 250.774 -1469.68
Point: 222.584 -1455.69
Point: 194.954 -1441.18
Point: 169.253 -1439.07
Point: 142.284 -1420.57
Point: 116.845 -1413.55
Point: 91.7414 -1407.07
Point: 66.7895 -1397.15
Point: 42.2588 -1389.79
Point: 18 -1381
Segment: 2645.58 183.739 18 1247 1.18345 1161.14 87
Segment: 1833.32 -2088.28 18 -1381 -1.94741 1266.38 42

6617
Line: 1.18487 1159.48
Line: -1.94372 1272.37
Point: 18 1242
Point: 39.4665 1229.81
Point: 61.1009 1234.25
Point: 81.6929 1215.33
Point: 102.196 1204.06
Point: 123.458 1205.4
Point: 143.643 1195.42
Point: 164.243 1191.06
Point: 184.034 1181.39
Point: 203.218 1169.42
Point: 223.599 1166.01
Point: 243.345 1159.3
Point: 262.088 1148.35
Point: 282.767 1146.83
Point: 300.323 1132.34
Point: 320.301 1128.2
Point: 339.944 1122.75
Point: 356.859 1108.36
Point: 379.55 1112.74
Point: 395.333 1095.86
Point: 414.401 1089.1
Point: 433.348 1082.02
Point: 452.169 1074.61
Point: 471.248 1067.79
Point: 489.815 1059.71
Point: 508.237 1051.32
Point: 526.072 1041.7
Point: 545.083 1034.46
Point: 562.118 1023.34
Point: 584.742 1022.43
Point: 601.5 1010.65
Point: 619.049 1000.31
Point: 641.185 997.305
Point: 659.585 987.954
Point: 678.407 979.093
Point: 699.409 973.153
Point: 718.052 963.539
Point: 735.965 952.772
Point: 759.872 949.553
Point: 781.366 942.678
Point: 797.059 928.446
Point: 819.704 922.255
Point: 843.038 916.298
Point: 864.36 907.61
Point: 889.796 902.771
Point: 904.712 886.712
Point: 925.087 875.964
Point: 949.013 868.184
Point: 972.198 859.164
Point: 996.858 850.909
Point: 1026.88 846.551
Point: 1049.27 835.108
Point: 1073.93 824.986
Point: 1096.16 812.45
Point: 1117.45 798.8
Point: 1146.79 790.388
